id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications
103426,https://fr.ulule.com/resto-basket-deuxieme-album/,Resto Basket - Deuxième Album,La Tour du Pin,Musique,artisanat_cuisine,euros,2200.0,2800.0,100.0,112,1,7,2
103501,https://fr.ulule.com/broderie-made-in-strasbourg/,Baptiste Blanchard - Broderie made in Strasbourg,Strasbourg,Mode & Design,artisanat_cuisine,euros,1200.0,2652.0,67.0,51,0,13,8
101634,https://fr.ulule.com/le-petit-atelier-luthi/,Le Petit Atelier Luthi,Lougratte,Mode & Design,artisanat_cuisine,euros,2000.0,2060.0,17.0,24,0,8,0
102901,https://fr.ulule.com/syma-ssa-1er-album-solo/,Syma Ssaï - 1er ALBUM SOLO,Nantes,Musique,artisanat_cuisine,euros,3500.0,3660.0,110.0,173,1,9,22
101120,https://fr.ulule.com/aujourdhui-film/,Aujourd'hui,Paris,Film & vidéo,artisanat_cuisine,euros,1000.0,1104.0,36.0,21,0,15,0
105890,https://fr.ulule.com/energed/,Energed - Une Nouvelle Forme d'Énergie,Saint Quentin,Film & vidéo,artisanat_cuisine,euros,600.0,610.0,15.0,27,0,15,5
104236,https://fr.ulule.com/geekjunior/,Geek Junior 🚀,Gaillac,Édition & Média,artisanat_cuisine,euros,10000.0,16621.0,375.0,526,1,18,25
99151,https://fr.ulule.com/mijeryedition/,MIJERY EDITION,Paris,Mode & Design,artisanat_cuisine,prevente,100.0,107.0,71.0,103,1,40,15
101010,https://fr.ulule.com/greenimaliste/,GREENIMALISTE : l'e-shop ecofriendly,Boulogne-sur-Mer,Solidaire & Citoyen,artisanat_cuisine,euros,2000.0,2420.0,76.0,128,1,9,8
105906,https://fr.ulule.com/les-franjynes-masques/,Covid-19 / Masques Solidaires,Nice,Solidaire & Citoyen,artisanat_cuisine,euros,2500.0,13210.0,293.0,455,1,19,3
103738,https://fr.ulule.com/cafe-asociatif-maison-boheme/,Maison Bohème Café Associatif,LE VAL,Solidaire & Citoyen,artisanat_cuisine,euros,1000.0,1002.0,26.0,42,0,17,0
100862,https://fr.ulule.com/vagues_deuxieme-ep/,VAGUES ≈ EP#2 - Aux Portes de La Nuit,Lyon,Musique,artisanat_cuisine,euros,2000.0,2160.0,83.0,83,1,8,2
100395,https://fr.ulule.com/armeesquelettes/,Armée Squelette - stl pour wargame,bourg en bresse,Jeux,artisanat_cuisine,prevente,30.0,75.0,74.0,109,1,50,36
101523,https://fr.ulule.com/home-mad-wax/,Home Mad Wax chez vous,Paris,Mode & Design,artisanat_cuisine,prevente,50.0,191.0,100.0,134,1,36,9
103758,https://fr.ulule.com/paupiette-des-albums-jeunesse-sans-conservateur/,Paupiette,Hermin,Édition & Média,artisanat_cuisine,prevente,50.0,95.0,56.0,71,0,19,6
103168,https://fr.ulule.com/odette-et-ses-attrape-reves/,Odette & ses attrape-rêves...,Caudry,Santé & Bien-être,artisanat_cuisine,euros,2500.0,3305.0,66.0,101,1,23,11
100967,https://fr.ulule.com/el-kandra-tome-3-and-integrale/,El Kandra - Tome 3 et Intégrale,Toulouse,Édition & Média,artisanat_cuisine,euros,2500.0,4550.0,72.0,73,0,29,12
