id,url,titre,adresse,categorie,categorie_source,type_projet,montant_initial,montant_actuel,nombre_contributions,nombre_commentaires,nombre_videos,nombre_images,nombre_publications,logique_modele
138906,https://fr.ulule.com/la-brasserie-papposilene/,brasserie artisanale a st georges/loire,champtoce sur loire,artisanat & cuisine,artisanat_cuisine,euros,2280.0,6490.0,88.0,60,0,8,2,financement_don
142515,https://fr.ulule.com/fleur2carotte/,fleur de carotte,ventalon-en-cevennes,artisanat & cuisine,artisanat_cuisine,euros,3500.0,3560.0,66.0,64,0,14,0,financement_don
141314,https://fr.ulule.com/cclb-food-truck-brasero/,cclb - food truck brasero,mauguio,artisanat & cuisine,artisanat_cuisine,euros,5600.0,6570.0,49.0,80,0,7,6,financement_don
141898,https://fr.ulule.com/didieafricanfood/,didie africanfood,lille,artisanat & cuisine,artisanat_cuisine,euros,1500.0,1530.0,27.0,23,0,13,1,financement_don
140950,https://fr.ulule.com/l-aime-chai/,"""l'aime chai"" bar a vin & jeux",c av,artisanat & cuisine,artisanat_cuisine,euros,2600.0,2685.0,34.0,65,0,13,0,financement_don
140791,https://fr.ulule.com/soutenez-votre-destination-food-a-vincennes/,mlle amande,vincennes,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3130.0,28.0,40,0,16,0,financement_don
138004,https://fr.ulule.com/mediavino/,"mediavino, denicheur de vignobles pepites",paris,artisanat & cuisine,artisanat_cuisine,euros,6000.0,7039.0,47.0,40,1,25,3,financement_don
131241,https://fr.ulule.com/blomaid_patisseries_et_cocktails/,"jumelles, patisseries et cocktails !",blois,artisanat & cuisine,artisanat_cuisine,euros,3000.0,4106.0,86.0,69,0,10,1,financement_don
140272,https://fr.ulule.com/neary/,neary,nancy,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4828.0,80.0,91,0,16,7,financement_don
143002,https://fr.ulule.com/livre-de-recettes-vegan-illustrees/,livre de recettes vegan,lyon,artisanat & cuisine,artisanat_cuisine,euros,750.0,2015.0,58.0,34,0,25,6,financement_don
139762,https://fr.ulule.com/panettone-e-spaghetti/,panettone e spaghetti,lagord,artisanat & cuisine,artisanat_cuisine,euros,5000.0,6457.0,109.0,147,0,10,1,financement_don
139695,https://fr.ulule.com/yakapiocher-bar-familial-et-amical/,yakapiocher,rue rivet,artisanat & cuisine,artisanat_cuisine,euros,4000.0,4775.0,60.0,98,0,7,14,financement_don
140376,https://fr.ulule.com/mercerie-les-cousettes-du-dimanche/,mercerie les cousettes du dimanche,la rochelle,artisanat & cuisine,artisanat_cuisine,euros,1000.0,1000.0,10.0,30,1,7,0,financement_don
139732,https://fr.ulule.com/savonnerie-artisanale-15/,savonnerie artisanale,senezergues,artisanat & cuisine,artisanat_cuisine,euros,2000.0,2127.0,31.0,26,0,16,4,financement_don
137991,https://fr.ulule.com/gin-nusbaumer-x-48deg-nord/,gin nusbaumer x 48 nord,breitenbach,artisanat & cuisine,artisanat_cuisine,euros,2500.0,2763.0,34.0,44,0,21,3,financement_don
139615,https://fr.ulule.com/la-louve-3/,la louve: votre futur lieu de vie!,revel/saint ferreol,artisanat & cuisine,artisanat_cuisine,euros,3000.0,3596.0,82.0,149,0,51,3,financement_don
129361,https://fr.ulule.com/kooto-le-couteau-de-bordeaux/,"kooto, le couteau de bordeaux",bordeaux,artisanat & cuisine,artisanat_cuisine,prevente,100.0,101.0,88.0,93,0,19,11,vente_produit
140564,https://fr.ulule.com/atelier-creperie-bar-a-vin/,"l'atelier, creperie - bar a vin",l'aigle,artisanat & cuisine,artisanat_cuisine,euros,3000.0,9037.0,72.0,123,0,9,3,financement_don
